slowo_kluczowe,volume,pozycja,KD,szac_ruch
wolontariat,5400,10,75,83.16
toz schronisko dla bezdomnych zwierząt we wrocławiu,3600,11,24,0.0
iwolontariusz,2900,28,42,0.0
centrum historii zajezdnia,2900,38,36,0.0
schronisko dla zwierząt wrocław,1900,31,51,0.0
cis wrocław,1900,22,51,0.0
zajezdnia wrocław,1000,33,41,0.0
wolontariusze wrocław,880,1,67,313.28
wolontariat wrocław,880,1,65,313.28
toz wrocław,880,16,52,0.0
hospicjum wrocławskie,720,35,52,0.0
powiatowe centrum pomocy rodzinie wrocław,590,9,15,10.62
centrum zajezdnia,590,33,40,0.0
veritatis wrocław,390,6,39,14.47
fundacja wrocław,390,17,57,0.0
gdzie potrzebują wolontariuszy,390,13,56,0.0
wolontariat szczecin,390,33,59,0.0
veritas wrocław,390,21,45,0.0
międzynarodowy dzień wolontariusza,320,10,34,0.0
chałupnicza wrocław,320,32,33,0.0
wrocławskie centrum integracji,320,30,21,0.0
wolontariat w domu dziecka,320,42,53,0.0
wolontariat dla 8 klasisty,260,3,35,27.95
wrocławski instytut kultury,260,9,20,4.68
8 wspaniałych,260,33,40,0.0
centrum wolontariatu,260,16,32,0.0
szlachetna paczka wrocław,260,21,33,0.0
wrocławskie centrum rozwoju społecznego,260,17,18,0.0
fundacja nasza ziemia,260,19,31,0.0
konkursy wrocław,260,23,47,0.0
rodzaje wolontariuszy,210,19,44,0.0
uniwersytet dzieci wrocław,210,11,40,0.0
uniwersytet dziecięcy wrocław,210,28,40,0.0
wolontariat dla młodzieży,170,2,52,29.78
rodzaje wolontariatu,170,13,42,0.0
ośmiu wspaniałych,170,29,32,0.0
centrum historii zajezdnia wrocław,170,37,30,0.0
schronisko dla bezdomnych zwierząt wrocław,170,27,29,0.0
e wolontariusz,170,32,44,0.0
praca charytatywna,140,3,47,15.05
wolontariat dla dzieci,140,4,68,9.94
półkolonie żeglarskie wrocław,140,10,31,2.16
znajdź wolontariat,140,10,49,2.16
fundacja dla zwierząt wrocław,140,26,41,0.0
fop wrocław,140,30,23,0.0
dzień wolontariatu,140,17,37,0.0
nefrytowa wrocław,140,36,24,0.0
wolontariusz sportowy,140,27,40,0.0
